hour_num,mean,std,min,max,q25,q75,iqr,price_level,variance_level,hour_group
1,38.84,21.88,0.01,500.0,25.41,52.85,27.44,Low,Stable,Low_Stable
2,33.99,16.45,0.3,180.0,22.0,46.35,24.35,Low,Stable,Low_Stable
3,30.05,15.95,0.01,200.0,19.01,40.72,21.71,Low,Stable,Low_Stable
4,24.88,14.59,0.01,160.0,13.43,34.0,20.56,Low,Stable,Low_Stable
5,23.12,14.44,0.01,160.0,11.24,31.94,20.7,Low,Stable,Low_Stable
6,28.8,15.9,0.01,160.0,17.93,39.4,21.48,Low,Stable,Low_Stable
7,36.65,20.78,0.01,150.5,21.98,52.19,30.21,Low,Stable,Low_Stable
8,50.54,28.97,0.01,179.32,30.0,71.95,41.95,Medium,Stable,Medium_Stable
9,56.92,30.78,0.01,227.13,34.98,76.77,41.79,High,Stable,High_Stable
10,63.91,39.17,0.01,500.0,39.97,82.86,42.88,High,Moderate,High_Moderate
11,67.13,45.64,7.17,800.0,42.0,83.83,41.83,High,Moderate,High_Moderate
12,70.88,48.07,8.99,950.0,44.99,86.01,41.03,High,Moderate,High_Moderate
13,65.0,31.4,13.98,350.14,43.82,81.72,37.9,High,Stable,High_Stable
14,61.62,31.97,4.95,520.01,40.07,77.91,37.84,High,Stable,High_Stable
15,58.98,39.28,8.03,950.0,37.62,75.0,37.38,High,Moderate,High_Moderate
16,54.61,38.1,1.0,950.0,34.6,70.0,35.4,Medium,Moderate,Medium_Moderate
17,53.98,40.69,0.01,950.0,33.6,69.57,35.96,Medium,Moderate,Medium_Moderate
18,60.16,46.21,0.01,769.47,35.0,74.99,39.99,High,Moderate,High_Moderate
19,67.47,75.78,1.0,1762.54,36.04,80.79,44.75,High,Volatile,High_Volatile
20,62.44,45.18,10.41,1066.82,36.4,79.3,42.9,High,Moderate,High_Moderate
21,58.46,77.87,5.53,2500.0,35.9,73.02,37.11,High,Volatile,High_Volatile
22,50.29,22.38,8.36,300.03,34.04,65.96,31.92,Medium,Stable,Medium_Stable
23,50.45,20.36,18.92,180.0,35.08,66.46,31.38,Medium,Stable,Medium_Stable
24,45.26,19.16,16.09,210.1,30.85,60.98,30.13,Medium,Stable,Medium_Stable
