PRICES,hour,price,hour_num,year,month,day_of_week,date,season,is_weekend,hour_period
2007-01-01,Hour 01,24.31,1,2007,1,Monday,2007-01-01,Winter,False,Night (1-6)
2007-01-02,Hour 01,16.01,1,2007,1,Tuesday,2007-01-02,Winter,False,Night (1-6)
2007-01-03,Hour 01,28.0,1,2007,1,Wednesday,2007-01-03,Winter,False,Night (1-6)
2007-01-04,Hour 01,31.01,1,2007,1,Thursday,2007-01-04,Winter,False,Night (1-6)
2007-01-05,Hour 01,22.0,1,2007,1,Friday,2007-01-05,Winter,False,Night (1-6)
2007-01-06,Hour 01,25.0,1,2007,1,Saturday,2007-01-06,Winter,True,Night (1-6)
2007-01-07,Hour 01,22.0,1,2007,1,Sunday,2007-01-07,Winter,True,Night (1-6)
2007-01-08,Hour 01,13.0,1,2007,1,Monday,2007-01-08,Winter,False,Night (1-6)
2007-01-09,Hour 01,18.51,1,2007,1,Tuesday,2007-01-09,Winter,False,Night (1-6)
2007-01-10,Hour 01,12.43,1,2007,1,Wednesday,2007-01-10,Winter,False,Night (1-6)
2007-01-11,Hour 01,15.4,1,2007,1,Thursday,2007-01-11,Winter,False,Night (1-6)
2007-01-12,Hour 01,14.59,1,2007,1,Friday,2007-01-12,Winter,False,Night (1-6)
2007-01-13,Hour 01,23.0,1,2007,1,Saturday,2007-01-13,Winter,True,Night (1-6)
2007-01-14,Hour 01,16.0,1,2007,1,Sunday,2007-01-14,Winter,True,Night (1-6)
2007-01-15,Hour 01,23.07,1,2007,1,Monday,2007-01-15,Winter,False,Night (1-6)
2007-01-16,Hour 01,26.28,1,2007,1,Tuesday,2007-01-16,Winter,False,Night (1-6)
2007-01-17,Hour 01,20.0,1,2007,1,Wednesday,2007-01-17,Winter,False,Night (1-6)
2007-01-18,Hour 01,21.14,1,2007,1,Thursday,2007-01-18,Winter,False,Night (1-6)
2007-01-19,Hour 01,15.21,1,2007,1,Friday,2007-01-19,Winter,False,Night (1-6)
2007-01-20,Hour 01,14.0,1,2007,1,Saturday,2007-01-20,Winter,True,Night (1-6)
2007-01-21,Hour 01,8.01,1,2007,1,Sunday,2007-01-21,Winter,True,Night (1-6)
2007-01-22,Hour 01,16.69,1,2007,1,Monday,2007-01-22,Winter,False,Night (1-6)
2007-01-23,Hour 01,30.81,1,2007,1,Tuesday,2007-01-23,Winter,False,Night (1-6)
2007-01-24,Hour 01,35.0,1,2007,1,Wednesday,2007-01-24,Winter,False,Night (1-6)
2007-01-25,Hour 01,32.86,1,2007,1,Thursday,2007-01-25,Winter,False,Night (1-6)
2007-01-26,Hour 01,33.14,1,2007,1,Friday,2007-01-26,Winter,False,Night (1-6)
2007-01-27,Hour 01,38.99,1,2007,1,Saturday,2007-01-27,Winter,True,Night (1-6)
2007-01-28,Hour 01,43.99,1,2007,1,Sunday,2007-01-28,Winter,True,Night (1-6)
2007-01-29,Hour 01,33.4,1,2007,1,Monday,2007-01-29,Winter,False,Night (1-6)
2007-01-30,Hour 01,32.01,1,2007,1,Tuesday,2007-01-30,Winter,False,Night (1-6)
2007-01-31,Hour 01,30.0,1,2007,1,Wednesday,2007-01-31,Winter,False,Night (1-6)
2007-02-01,Hour 01,28.0,1,2007,2,Thursday,2007-02-01,Winter,False,Night (1-6)
2007-02-02,Hour 01,26.81,1,2007,2,Friday,2007-02-02,Winter,False,Night (1-6)
2007-02-03,Hour 01,29.0,1,2007,2,Saturday,2007-02-03,Winter,True,Night (1-6)
2007-02-04,Hour 01,31.31,1,2007,2,Sunday,2007-02-04,Winter,True,Night (1-6)
2007-02-05,Hour 01,23.91,1,2007,2,Monday,2007-02-05,Winter,False,Night (1-6)
2007-02-06,Hour 01,29.91,1,2007,2,Tuesday,2007-02-06,Winter,False,Night (1-6)
2007-02-07,Hour 01,29.18,1,2007,2,Wednesday,2007-02-07,Winter,False,Night (1-6)
2007-02-08,Hour 01,27.01,1,2007,2,Thursday,2007-02-08,Winter,False,Night (1-6)
2007-02-09,Hour 01,28.4,1,2007,2,Friday,2007-02-09,Winter,False,Night (1-6)
2007-02-10,Hour 01,28.43,1,2007,2,Saturday,2007-02-10,Winter,True,Night (1-6)
2007-02-11,Hour 01,24.0,1,2007,2,Sunday,2007-02-11,Winter,True,Night (1-6)
2007-02-12,Hour 01,20.0,1,2007,2,Monday,2007-02-12,Winter,False,Night (1-6)
2007-02-13,Hour 01,23.39,1,2007,2,Tuesday,2007-02-13,Winter,False,Night (1-6)
